comd_one,comd_two,output
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 1d4 -InterruptEvent 0 -NGENProcess 2a8 -Pipe 2f8 -Comment  NGen Worker Process  , LogonUI.exe  /flags  :  0x0 /state0  :  0xa626d055 /state1  :  0x41c64e6d ,Not-Similar
 schtasks.exe  /Create /TN  Lenovo\ImController\Plugins\LenovoSystemUpdatePlugin_WeeklyTask  /XML  C:\ProgramData\Lenovo\ImController\SystemPluginData\LenovoSystemUpdatePlugin\session\TVSUUpdateTask_Weekly.xml  /F , wevtutil.exe  im  C:\Program Files (x86)\MS Office 2016\Office16\msoutilstat.etw.man  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 780 -InterruptEvent 0 -NGENProcess 710 -Pipe 550 -Comment  NGen Worker Process  , C:\WINDOWS\Lenovo\iMController\PluginHost86\Lenovo.Modern.ImController.PluginHost.Device.exe  -name 063d68b0-618d-4388-a9d0-b7d89c49f7aa -runas SYSTEM -pluginName GenericTelemetryPlugin -pluginVersion 2.1.0.20 ,Not-Similar
 C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\5677140f-5a2f-4a5b-9e2d-b9cc2b25611e.ps1'  , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 2cc -InterruptEvent 0 -NGENProcess 2c4 -Pipe 2c8 -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 88c -InterruptEvent 0 -NGENProcess 830 -Pipe 87c -Comment  NGen Worker Process  , C:\WINDOWS\TEMP\47885689-3448-4D9F-B623-0A0B3328D028\dismhost.exe  {95F70736-586C-4413-B117-AE99882FBD1E} ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 1cc -InterruptEvent 0 -NGENProcess 1bc -Pipe 19c -Comment  NGen Worker Process  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  uninstall  C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\Lucene.Net\b83fb782370cd2a01a198be863bfe43c\Lucene.Net.ni.dll  /noroot /LegacyServiceBehavior ,Not-Similar
 C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\af27b83f-8723-47ca-a9f2-5d55ef4bfe6b.ps1'  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 6e4 -InterruptEvent 0 -NGENProcess 7d4 -Pipe 4e0 -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 498 -InterruptEvent 0 -NGENProcess 74c -Pipe 76c -Comment  NGen Worker Process  , C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  deepguard-db  --aua-version =  1595226088  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\deepguard-db\1595226088  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 5f0 -InterruptEvent 0 -NGENProcess 564 -Pipe 5a0 -Comment  NGen Worker Process  , C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\09a19919-1f53-4169-95bc-178746cb0464.ps1'  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 1b4 -InterruptEvent 0 -NGENProcess 19c -Pipe 1ac -Comment  NGen Worker Process  , C:\WINDOWS\system32\CompatTelRunner.exe  -m  :  invagent.dll -f  :  RunUpdate -cv  :  LcYuedwbQUCuFEGN.5 ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 9c -InterruptEvent 0 -NGENProcess 1a4 -Pipe 1b4 -Comment  NGen Worker Process  ,git remote add origin  https://github.com/Zafarhussain87/Selenium-with-Java.git  ,Not-Similar
 C:\WINDOWS\Lenovo\iMController\PluginHost86\Lenovo.Modern.ImController.PluginHost.Device.exe  -name ef9b29ad-91b5-465a-b3b9-78c7992cc4a1 -runas SYSTEM -pluginName GenericTelemetryPlugin -pluginVersion 2.1.0.20 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 978 -InterruptEvent 0 -NGENProcess 940 -Pipe 97c -Comment  NGen Worker Process  ,Not-Similar
