comd_one,comd_two,output
 c:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  install  c:\Program Files (x86)\Common Files\Microsoft Shared\VSTA\Pipeline.v10.0\AddInSideAdapters\Microsoft.VisualStudio.Tools.Office.Word.AddInAdapter.v9.0.dll  /queue  :  3 /NoDependencies ," c:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  install  Microsoft.VisualStudio.Tools.Applications.Hosting.v10.0, Version=10.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a  /queue  :  3 /NoDependencies ",Similar
 C:\Program Files\Amazon\AWSCLIV2\aws.exe  cli , C:\Program Files\Amazon\AWSCLIV2\aws.exe  s3 sync  s3://ew1-rds-ds-prd-data-export-hy/data/events/_organization=university_of_helsinki/C:\Users\zhussain\study\internship\f-secure  ,Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 6d4 -InterruptEvent 0 -NGENProcess 6e0 -Pipe 5fc -Comment  NGen Worker Process  , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 928 -InterruptEvent 0 -NGENProcess 920 -Pipe 8f4 -Comment  NGen Worker Process  ,Similar
 C:\WINDOWS\System32\WaaSMedicAgent.exe  82efd75b56268f7931b7d4391d22978b +XF85hlkOUm3+oTO7VgggA.0.1.0.0.0 , C:\WINDOWS\System32\WaaSMedicAgent.exe  8d8f1b3f76c11d5414e83d7b3afbe217 vDSiYqKU+EO8laa+wEzHfw.0.1.0.0.0 ,Similar
 C:\WINDOWS\TEMP\22259147-EA23-4CAB-A48E-B9DD6C4EF2AE\dismhost.exe  {C09BA95A-71EC-469B-B62F-BFF68823C6E3} , C:\WINDOWS\TEMP\448BABF9-F177-4D16-BD5D-2F0D6B5FA014\dismhost.exe  {D4B40518-2644-49B7-8711-D8892A4AE43A} ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\RDS21bde055271f\study\internship\f-secure\fsecure  data\fsecure data\_year=2020\_month=6\_day=2\_sensor_id=85bd9b2f-cefb-45fe-9d39-36115b19f5d4\00d5664c-184b-417d-a79f-baa285453709.jsonl.gz , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\RDS21bde055271f\study\internship\f-secure\meeting_points  03-07.txt ,Similar
 C:\Program Files\Amazon\AWSCLIV2\aws.exe  config , C:\Program Files\Amazon\AWSCLIV2\aws.exe  s3 sync  s3://ew1-rds-ds-prd-data-export-hy/data/events/_organization=university_of_helsinki  ,Similar
 C:\WINDOWS\TEMP\095F688A-DAF2-4C1D-9DD2-C21052F84E7C\dismhost.exe  {2F396577-9A28-4F34-92ED-FF6B0C31A9AA} , C:\WINDOWS\TEMP\0F1634FC-334D-4FD4-B367-E50DD36710CC\dismhost.exe  {1CA9B2E6-B8B0-423E-84EF-FE29CC600229} ,Similar
 C:\WINDOWS\System32\WaaSMedicAgent.exe  98d4ece77c6a47e40c9fd93e5c6c6e8d 2toglbja6ku6nER4.0.0.0 , C:\WINDOWS\System32\WaaSMedicAgent.exe  d2fcf8af42ce08eb0ae5c60e680ba310 bLd6Y12pc0Cdf5b+Qf7V0A.0.1.0.0.0 ,Similar
 C:\WINDOWS\TEMP\0F1634FC-334D-4FD4-B367-E50DD36710CC\dismhost.exe  {1CA9B2E6-B8B0-423E-84EF-FE29CC600229} , C:\WINDOWS\TEMP\225312BA-8B6C-4140-8DDA-D1E0A521D7BA\dismhost.exe  {6DD7B887-3BC6-440A-9B6F-F997BA9B1836} ,Similar
 C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Patches\msodll202016-kb4484251-fullfile-x86-glb.exe  /passive /norestart /quiet , C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Patches\msodll99l2016-kb4484395-fullfile-x86-glb.exe  /passive /norestart /quiet ,Similar
taskhostw.exe TpmTasks ,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E} ,Similar
taskhostw.exe timer ,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E} ,Similar
 C:\WINDOWS\TEMP\6FF8A7EA-39EB-4333-BE46-C42E9F0BD03C\dismhost.exe  {BBD55FC0-D341-49FE-AC69-2AA6E7CB89A3} , C:\WINDOWS\TEMP\895BFD1F-4C71-4481-9F07-784FB42E01D7\dismhost.exe  {1B090F14-1172-432D-BEB3-0D8891925437} ,Similar
 C:\Program Files\Amazon\AWSCLIV2\aws.exe  configure , C:\Program Files\Amazon\AWSCLIV2\aws.exe  s3 sync  s3://ew1-rds-ds-prd-data-export-hy/data/events/_organization=university_of_helsinki  ,Similar
 C:\WINDOWS\TEMP\448BABF9-F177-4D16-BD5D-2F0D6B5FA014\dismhost.exe  {D4B40518-2644-49B7-8711-D8892A4AE43A} , C:\WINDOWS\TEMP\895BFD1F-4C71-4481-9F07-784FB42E01D7\dismhost.exe  {1B090F14-1172-432D-BEB3-0D8891925437} ,Similar
 C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_8593324338be39de\IntelCpHeciSvc.exe  , C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_8593324338be39de\IntelCpHDCPSvc.exe  ,Similar
 C:\WINDOWS\TEMP\6FF8A7EA-39EB-4333-BE46-C42E9F0BD03C\dismhost.exe  {BBD55FC0-D341-49FE-AC69-2AA6E7CB89A3} , C:\WINDOWS\TEMP\B7F870F9-1A11-4D87-90B7-58E116787E70\dismhost.exe  {5D010F77-C0C1-4786-8382-F046BE7501AF} ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\AppData\Roaming\jupyter\runtime\kernel-f30d0af3-1930-4a26-b9c3-227953dad61d.json  , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\fsecure  data\fsecure data\_year=2020\_month=6\_day=22\_sensor_id=3e6599e7-f984-4167-9044-775638385318\def10613-1979-4dc4-acae-5d7b69ffa80a.jsonl ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\RDS21bde055271f\study\internship\vscode\99f0d883-725f-4d2b-ad1b-71ff71108ef1.txt  , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\AppData\Roaming\jupyter\runtime\kernel-f30d0af3-1930-4a26-b9c3-227953dad61d.json  ,Similar
 C:\WINDOWS\TEMP\47885689-3448-4D9F-B623-0A0B3328D028\dismhost.exe  {95F70736-586C-4413-B117-AE99882FBD1E} , C:\WINDOWS\TEMP\6AD75887-993A-4E31-90CA-49D7B131F54B\dismhost.exe  {CB5A0BFD-CD25-4A2E-81F9-05E7B04A1633} ,Similar
 C:\WINDOWS\SysWOW64\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\f2f3dd1f-5e07-4b56-845e-2ab6ce14053d.ps1'  , C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\dfca8b9d-4885-4af3-9bce-439c481f1d44.ps1'  ,Similar
 C:\Program Files\Amazon\AWSCLIV2\aws.exe  config , C:\Program Files\Amazon\AWSCLIV2\aws.exe  s3 sync  s3://ew1-rds-ds-prd-data-export-hy/data/events/_organization=university_of_helsinki/C:\Users\zhussain\study\internship\f-secure  ,Similar
 C:\WINDOWS\TEMP\225312BA-8B6C-4140-8DDA-D1E0A521D7BA\dismhost.exe  {6DD7B887-3BC6-440A-9B6F-F997BA9B1836} , C:\WINDOWS\TEMP\25FE10B1-A5D7-4EBC-BD5B-D73CA997D01E\dismhost.exe  {72783E2F-7A1C-4129-9E89-0549223DF29F} ,Similar
taskhostw.exe ExploitGuardPolicy ,taskhostw.exe VerifyWinRE ,Similar
 C:\WINDOWS\System32\WaaSMedicAgent.exe  8d8f1b3f76c11d5414e83d7b3afbe217 vDSiYqKU+EO8laa+wEzHfw.0.1.0.0.0 , C:\WINDOWS\System32\WaaSMedicAgent.exe  b7a52cbd0215dc33672d0393b213c69c vGXQ9ObRykyrjCEVmB2Qqw.0.1.0.0.0 ,Similar
 C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Patches\ace2016-kb4484431-fullfile-x86-glb.exe  /passive /norestart /quiet , C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Patches\lync2016-kb4484501-fullfile-x86-glb.exe  /passive /norestart /quiet ,Similar
 C:\WINDOWS\TEMP\43633225-94A5-4585-A91D-C07B8319D810\dismhost.exe  {18ADA5A3-261D-4BF7-BD03-E8F14D5037A3} , C:\WINDOWS\TEMP\47885689-3448-4D9F-B623-0A0B3328D028\dismhost.exe  {95F70736-586C-4413-B117-AE99882FBD1E} ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\fsecure  data\fsecure data\_year=2020\_month=6\_day=2\_sensor_id=85bd9b2f-cefb-45fe-9d39-36115b19f5d4\85d7ebaf-4ba1-488b-a89d-f1dd7a188054.jsonl.gz , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\meeting_points  24-07.txt ,Similar
 C:\Program Files\Amazon\AWSCLIV2\aws.exe  configure , C:\Program Files\Amazon\AWSCLIV2\aws.exe  s3 sync  s3://ew1-rds-ds-prd-data-export-hy/data/events/_organization=university_of_helsinki/C:\Users\zhussain\study\internship\f-secure  ,Similar
 C:\WINDOWS\System32\WaaSMedicAgent.exe  53f1c6241ed239f59b4aa85dab20ab0a V0NGDVWkFke41c4kPFe6Aw.0.1.0.0.0 , C:\WINDOWS\System32\WaaSMedicAgent.exe  a97025a85f30cd0f5c8aff172459fd6b pP1Q0T6PzEKUCBEZ.0.0.0 ,Similar
git.exe commit -m ,git.exe commit -m  added text in empty files  ,Similar
 C:\WINDOWS\ccmcache\3d\ccmsetup.exe  /AutoUpgrade /UpgradePackageVersion  :  1 , C:\WINDOWS\ccmsetup\ccmsetup.exe  /runservice /AutoUpgrade /UpgradePackageVersion  :  1 /UpgradeWinTask ,Similar
 C:\WINDOWS\TEMP\22259147-EA23-4CAB-A48E-B9DD6C4EF2AE\dismhost.exe  {C09BA95A-71EC-469B-B62F-BFF68823C6E3} , C:\WINDOWS\TEMP\2AD3EC3F-045C-448A-BE5A-EBB6C91C1D4A\dismhost.exe  {3DFBBEE4-AB16-49A0-9147-BD1037376CAB} ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\RDS21bde055271f\study\internship\vscode\zz.txt  , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\AppData\Local\Temp\Temp1_Vol-2612.zip\Vol-2612\changes-2020-06-05.txt  ,Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 6d8 -InterruptEvent 0 -NGENProcess 648 -Pipe 7e8 -Comment  NGen Worker Process  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 1d4 -InterruptEvent 0 -NGENProcess 480 -Pipe 2dc -Comment  NGen Worker Process  ,Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 734 -InterruptEvent 0 -NGENProcess 73c -Pipe 58c -Comment  NGen Worker Process  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 738 -InterruptEvent 0 -NGENProcess 6cc -Pipe 700 -Comment  NGen Worker Process  ,Similar
